Instituição financeira,Data,CAR,NPM,ROA,ROE
PAN - PRUDENCIAL,01/03/2018,"0,1844",0.278279751,0.015522896,0.103227148
PAN - PRUDENCIAL,01/12/2016,"0,1422",-0.069636129,-0.008737922,-0.069181944
PAN - PRUDENCIAL,01/03/2017,"0,1323",-0.069636129,-0.008737922,-0.069181944
BCO DA AMAZONIA S.A. - PRUDENCIAL,01/09/2016,"0,1323",-0.172974237,-0.005047746,-0.035020825
INTER - PRUDENCIAL,01/03/2015,"0,173",0.19370955,0.011307573,0.072942319
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL,01/09/2015,"0,2122",0.019531396,0.001036294,0.015612244
BB - PRUDENCIAL,01/06/2018,"0,1344",0.084486774,0.004077854,0.064308059
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL,01/09/2020,"0,1845",0.061655821,0.000791065,0.02034609
PINE - PRUDENCIAL,01/09/2016,"0,1781",-0.027884542,-0.000792043,-0.005731022
BRADESCO - PRUDENCIAL,01/06/2017,"0,1577",0.11063917,0.007230895,0.067879658
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL,01/06/2016,"0,1666",0.040501569,0.024270897,0.033963782
BB - PRUDENCIAL,01/12/2018,"0,1257",0.11404626,0.004880849,0.075195469
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL,01/03/2016,"0,1886",-0.030743288,-0.006030208,-0.085271923
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL,01/06/2015,"0,1209",0.057035331,0.003897418,0.055160833
PAN - PRUDENCIAL,01/09/2017,"0,142",0.138677727,0.007282938,0.056353131
BB - PRUDENCIAL,01/09/2018,"0,122",0.095620739,0.002150899,0.034069012
BRADESCO - PRUDENCIAL,01/09/2017,"0,187",0.088408263,0.002821302,0.026145884
PAN - PRUDENCIAL,01/06/2018,"0,1765",0.000921459,0.000101781,0.00067897
SANTANDER - PRUDENCIAL,01/06/2017,"0,1369",0.082152311,0.004819215,0.050066224
INTER - PRUDENCIAL,01/06/2019,"0,1649",0.271501102,0.017287507,0.107048828
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL,01/06/2020,"0,2359",0.110517706,0.003345766,0.085633982
PAN - PRUDENCIAL,01/06/2017,"0,1863",0.070411581,0.009596519,0.075742513
BCO DA AMAZONIA S.A. - PRUDENCIAL,01/09/2015,"0,1161",0.651515047,0.02341626,0.149147523
PAN - PRUDENCIAL,01/06/2020,"0,167",0.073410058,0.009396365,0.061503201
PAN - PRUDENCIAL,01/09/2019,"0,1588",0.01759358,0.001092083,0.007157795
PAN - PRUDENCIAL,01/12/2018,"0,1286",-0.17875114,-0.018801515,-0.123059807
