Instituição financeira,Data,CAR,NPM,ROA,ROE
MERCANTIL DO BRASIL - PRUDENCIAL,01/06/2019,"0,1581",0.034423405,0.004113769,0.044418264
BCO DA AMAZONIA S.A. - PRUDENCIAL,01/06/2018,"0,1732",-0.410284986,-0.001405348,-0.013924141
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL,01/06/2020,"0,1313",0.045268983,0.015709,0.015744667
BCO DA AMAZONIA S.A. - PRUDENCIAL,01/06/2020,"0,138",0.075408793,0.001039813,0.00920731
BCO DA AMAZONIA S.A. - PRUDENCIAL,01/06/2019,"0,1205",0.366198177,0.012094573,0.121450773
MERCANTIL DO BRASIL - PRUDENCIAL,01/03/2020,"0,1194",-0.184075629,-0.042755812,-0.044240722
BCO DA AMAZONIA S.A. - PRUDENCIAL,01/09/2019,"0,1754",-0.205597222,-0.002592061,-0.026151719
BCO DA AMAZONIA S.A. - PRUDENCIAL,01/12/2018,"0,1225",0.166304299,0.005839717,0.057053308
BANRISUL - PRUDENCIAL,01/06/2016,"0,1335",0.073576137,0.00550813,0.057426085
MERCANTIL DO BRASIL - PRUDENCIAL,01/09/2020,"0,1677",-0.04220041,-0.030131492,-0.029088027
BCO DA AMAZONIA S.A. - PRUDENCIAL,01/03/2019,"0,1836",0.616679082,0.010633817,0.10456008
INTER - PRUDENCIAL,01/06/2020,"0,1231",-0.033665852,-0.021581927,-0.121801246
MERCANTIL DO BRASIL - PRUDENCIAL,01/12/2019,"0,2797",0.125339099,0.014362803,0.15443605
BANRISUL - PRUDENCIAL,01/09/2016,"0,1669",0.047435262,0.002037703,0.02119161
PINE - PRUDENCIAL,01/03/2018,"0,1709",0.074790053,0.012422477,0.118674176
MERCANTIL DO BRASIL - PRUDENCIAL,01/06/2020,"0,1206",0.002339876,0.000246568,0.002661454
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL,01/09/2020,"0,1808",0.029239399,0.005179535,0.048103653
BANRISUL - PRUDENCIAL,01/12/2016,"0,1383",0.059242714,0.004840206,0.051985802
BANRISUL - PRUDENCIAL,01/03/2017,"0,1695",0.059242714,0.004840206,0.051985802
BANRISUL - PRUDENCIAL,01/06/2017,"0,1695",-0.042630641,-0.002859245,-0.030214409
BANRISUL - PRUDENCIAL,01/12/2019,"0,1567",0.176298273,0.009902041,0.103693881
BANRISUL - PRUDENCIAL,01/03/2019,"0,1507",0.244874681,0.006970304,0.073798631
BANRISUL - PRUDENCIAL,01/03/2020,"0,1558",-0.188093007,-0.005062933,-0.0522874
BANRISUL - PRUDENCIAL,01/06/2019,"0,1514",0.142812243,0.008000905,0.084688824
BANRISUL - PRUDENCIAL,01/03/2018,"0,1579",0.04163227,0.001248238,0.012352035
BANRISUL - PRUDENCIAL,01/09/2019,"0,1563",0.204378068,0.006536108,0.068270754
BANRISUL - PRUDENCIAL,01/12/2018,"0,1617",0.043515087,0.002543241,0.027103797
BANRISUL - PRUDENCIAL,01/09/2017,"0,1522",0.122850238,0.004051295,0.042592663
PINE - PRUDENCIAL,01/06/2018,"0,1654",0.030606365,0.001218147,0.011323397
BANRISUL - PRUDENCIAL,01/12/2017,"0,1135",0.150878163,0.009814161,0.102453503
BANRISUL - PRUDENCIAL,01/06/2018,"0,1698",0.289447617,0.017853409,0.191574722
BANRISUL - PRUDENCIAL,01/06/2020,"0,1502",0.101975101,0.005511738,0.058148089
BANRISUL - PRUDENCIAL,01/09/2018,"0,1599",0.119919263,0.003636234,0.038105196
INTER - PRUDENCIAL,01/09/2020,"0,1591",-0.204795429,-0.00249483,-0.012448524
INTER - PRUDENCIAL,01/06/2021,"0,3622",0.046697493,0.001224999,0.004257564
INTER - PRUDENCIAL,01/03/2021,"0,1963",0.04589394,0.000784853,0.005149233
BANRISUL - PRUDENCIAL,01/03/2021,"0,2414",0.143470322,0.002921075,0.032506387
BANRISUL - PRUDENCIAL,01/09/2020,"0,1479",0.158134049,0.0029252,0.031611902
BANRISUL - PRUDENCIAL,01/12/2020,"0,1623",0.107851012,0.003811457,0.041957982
BANRISUL - PRUDENCIAL,01/06/2021,"0,1581",0.168948609,0.005546854,0.062878975
INTER - PRUDENCIAL,01/12/2020,"0,1477",0.016935053,0.000450471,0.002672972
PINE - PRUDENCIAL,01/12/2018,"0,3183",-0.268555137,-0.007010297,-0.075899666
PINE - PRUDENCIAL,01/12/2019,"0,128",-0.141280491,-0.004689568,-0.05655866
PINE - PRUDENCIAL,01/06/2021,"0,1233",0.003985008,0.000120939,0.002300417
PINE - PRUDENCIAL,01/09/2019,"0,1082",0.006855078,0.000121638,0.001560975
BANESTES - PRUDENCIAL,01/03/2015,"0,1232",0.173788862,0.005408653,0.080072153
PINE - PRUDENCIAL,01/03/2021,"0,1731",0.002434979,3.69E-05,0.000706616
PINE - PRUDENCIAL,01/03/2019,"0,991",-0.004741797,-7.62E-05,-0.00082514
PINE - PRUDENCIAL,01/12/2020,"0,1232",-0.022120222,-0.004698523,-0.081374402
PINE - PRUDENCIAL,01/06/2019,"0,1167",-0.125957063,-0.022407966,-0.028382518
PINE - PRUDENCIAL,01/03/2020,"0,1212",-0.014695564,-0.000203101,-0.002711968
PINE - PRUDENCIAL,01/09/2020,"0,1085",-0.055903181,-0.004007374,-0.0591083
BANESTES - PRUDENCIAL,01/06/2015,"0,1315",-0.088038901,-0.0290041,-0.042154644
BANESTES - PRUDENCIAL,01/09/2015,"0,1792",-0.049130625,-0.001621558,-0.025340435
PINE - PRUDENCIAL,01/09/2018,"0,1869",-0.171768215,-0.003191353,-0.030448481
BANESTES - PRUDENCIAL,01/12/2015,"0,1301",-0.043748038,-0.020464597,-0.031937581
BANESTES - PRUDENCIAL,01/06/2016,"0,1976",0.064106864,0.004504449,0.069843514
BANESTES - PRUDENCIAL,01/03/2018,"0,1855",0.041791421,0.00119573,0.01640404
PINE - PRUDENCIAL,01/06/2020,"0,1662",0.025654477,0.009837329,0.136808272
BANESTES - PRUDENCIAL,01/03/2016,"0,1128",0.066885799,0.023290496,0.037140927
BANESTES - PRUDENCIAL,01/06/2017,"0,1893",0.023091582,0.001632958,0.024278464
BANESTES - PRUDENCIAL,01/09/2016,"0,1831",0.100916085,0.003193035,0.060797515
BANESTES - PRUDENCIAL,01/03/2019,"0,181",-0.076961807,-0.00740904,-0.124714144
BANESTES - PRUDENCIAL,01/12/2016,"0,177",0.116733855,0.007455332,0.150527481
BANESTES - PRUDENCIAL,01/03/2017,"0,1876",0.116733855,0.007455332,0.150527481
BANESTES - PRUDENCIAL,01/12/2017,"0,1876",0.071222503,0.00414667,0.06491498
BANESTES - PRUDENCIAL,01/12/2018,"0,1422",0.074001609,0.003071053,0.057138912
BANESTES - PRUDENCIAL,01/09/2017,"0,1712",0.063706233,0.001784001,0.028470776
BANESTES - PRUDENCIAL,01/06/2018,"0,152",-0.017572785,-0.000768695,-0.012714201
BANESTES - PRUDENCIAL,01/09/2018,"0,1684",0.096398691,0.001855247,0.036908857
BANESTES - PRUDENCIAL,01/06/2021,"0,1665",0.14381845,0.003534163,0.06398005
BANESTES - PRUDENCIAL,01/12/2019,"0,1551",0.228188756,0.009944397,0.145737092
BANESTES - PRUDENCIAL,01/09/2019,"0,1405",-0.009111128,-0.000216609,-0.003218296
BANESTES - PRUDENCIAL,01/03/2021,"0,1754",0.172206609,0.001896545,0.034493862
BANESTES - PRUDENCIAL,01/03/2020,"0,1589",0.252177768,0.004519628,0.078622528
BANESTES - PRUDENCIAL,01/06/2020,"0,1282",0.166458391,0.005422363,0.091833024
BANESTES - PRUDENCIAL,01/06/2019,"0,1411",-0.03320976,-0.008808903,-0.158986144
BANESTES - PRUDENCIAL,01/12/2020,"0,1669",0.14888591,0.003521946,0.062480308
BANESTES - PRUDENCIAL,01/09/2020,"0,1542",0.173129469,0.001705813,0.036920139
PAN - PRUDENCIAL,01/06/2021,"0,1444",,,
